Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
  step   700/1756 | loss 9.7266 | data 0.1 ms | step 15.1 ms | 33972.2 samples/s
  step   750/1756 | loss 9.7542 | data 0.1 ms | step 15.1 ms | 33913.3 samples/s
  step   800/1756 | loss 10.1792 | data 0.1 ms | step 15.1 ms | 33969.5 samples/s
  step   850/1756 | loss 9.5141 | data 0.1 ms | step 15.1 ms | 33983.9 samples/s
  step   900/1756 | loss 9.4134 | data 0.1 ms | step 15.1 ms | 33979.7 samples/s
  step   950/1756 | loss 9.4125 | data 0.1 ms | step 15.1 ms | 33999.7 samples/s
  step  1000/1756 | loss 9.3097 | data 0.1 ms | step 15.1 ms | 33891.9 samples/s
  step  1050/1756 | loss 10.0059 | data 0.1 ms | step 15.1 ms | 33957.6 samples/s
  step  1100/1756 | loss 9.9478 | data 0.1 ms | step 15.1 ms | 33956.6 samples/s
  step  1150/1756 | loss 9.6453 | data 0.1 ms | step 15.1 ms | 33991.8 samples/s
  step  1200/1756 | loss 9.6357 | data 0.1 ms | step 15.1 ms | 33972.0 samples/s
  step  1250/1756 | loss 9.5561 | data 0.1 ms | step 15.1 ms | 33977.5 samples/s
  step  1300/1756 | loss 10.0272 | data 0.1 ms | step 15.1 ms | 33973.5 samples/s
  step  1350/1756 | loss 9.4130 | data 0.1 ms | step 15.1 ms | 33936.3 samples/s
  step  1400/1756 | loss 9.5150 | data 0.1 ms | step 15.1 ms | 33985.8 samples/s
  step  1450/1756 | loss 9.5398 | data 0.1 ms | step 15.1 ms | 33970.8 samples/s
  step  1500/1756 | loss 9.3894 | data 0.1 ms | step 15.1 ms | 33964.6 samples/s
  step  1550/1756 | loss 9.7489 | data 0.1 ms | step 15.1 ms | 33873.5 samples/s
  step  1600/1756 | loss 9.4183 | data 0.1 ms | step 15.1 ms | 33958.6 samples/s
  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
  step   700/1756 | loss 9.7266 | data 0.1 ms | step 15.1 ms | 33972.2 samples/s
  step   750/1756 | loss 9.7542 | data 0.1 ms | step 15.1 ms | 33913.3 samples/s
  step   800/1756 | loss 10.1792 | data 0.1 ms | step 15.1 ms | 33969.5 samples/s
  step   850/1756 | loss 9.5141 | data 0.1 ms | step 15.1 ms | 33983.9 samples/s
  step   900/1756 | loss 9.4134 | data 0.1 ms | step 15.1 ms | 33979.7 samples/s
  step   950/1756 | loss 9.4125 | data 0.1 ms | step 15.1 ms | 33999.7 samples/s
  step  1000/1756 | loss 9.3097 | data 0.1 ms | step 15.1 ms | 33891.9 samples/s
  step  1050/1756 | loss 10.0059 | data 0.1 ms | step 15.1 ms | 33957.6 samples/s
  step  1100/1756 | loss 9.9478 | data 0.1 ms | step 15.1 ms | 33956.6 samples/s
  step  1150/1756 | loss 9.6453 | data 0.1 ms | step 15.1 ms | 33991.8 samples/s
  step  1200/1756 | loss 9.6357 | data 0.1 ms | step 15.1 ms | 33972.0 samples/s
  step  1250/1756 | loss 9.5561 | data 0.1 ms | step 15.1 ms | 33977.5 samples/s
  step  1300/1756 | loss 10.0272 | data 0.1 ms | step 15.1 ms | 33973.5 samples/s
  step  1350/1756 | loss 9.4130 | data 0.1 ms | step 15.1 ms | 33936.3 samples/s
  step  1400/1756 | loss 9.5150 | data 0.1 ms | step 15.1 ms | 33985.8 samples/s
  step  1450/1756 | loss 9.5398 | data 0.1 ms | step 15.1 ms | 33970.8 samples/s
  step  1500/1756 | loss 9.3894 | data 0.1 ms | step 15.1 ms | 33964.6 samples/s
  step  1550/1756 | loss 9.7489 | data 0.1 ms | step 15.1 ms | 33873.5 samples/s
  step  1600/1756 | loss 9.4183 | data 0.1 ms | step 15.1 ms | 33958.6 samples/s
  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
  step   700/1756 | loss 9.7266 | data 0.1 ms | step 15.1 ms | 33972.2 samples/s
  step   750/1756 | loss 9.7542 | data 0.1 ms | step 15.1 ms | 33913.3 samples/s
  step   800/1756 | loss 10.1792 | data 0.1 ms | step 15.1 ms | 33969.5 samples/s
  step   850/1756 | loss 9.5141 | data 0.1 ms | step 15.1 ms | 33983.9 samples/s
  step   900/1756 | loss 9.4134 | data 0.1 ms | step 15.1 ms | 33979.7 samples/s
  step   950/1756 | loss 9.4125 | data 0.1 ms | step 15.1 ms | 33999.7 samples/s
  step  1000/1756 | loss 9.3097 | data 0.1 ms | step 15.1 ms | 33891.9 samples/s
  step  1050/1756 | loss 10.0059 | data 0.1 ms | step 15.1 ms | 33957.6 samples/s
  step  1100/1756 | loss 9.9478 | data 0.1 ms | step 15.1 ms | 33956.6 samples/s
  step  1150/1756 | loss 9.6453 | data 0.1 ms | step 15.1 ms | 33991.8 samples/s
  step  1200/1756 | loss 9.6357 | data 0.1 ms | step 15.1 ms | 33972.0 samples/s
  step  1250/1756 | loss 9.5561 | data 0.1 ms | step 15.1 ms | 33977.5 samples/s
  step  1300/1756 | loss 10.0272 | data 0.1 ms | step 15.1 ms | 33973.5 samples/s
  step  1350/1756 | loss 9.4130 | data 0.1 ms | step 15.1 ms | 33936.3 samples/s
  step  1400/1756 | loss 9.5150 | data 0.1 ms | step 15.1 ms | 33985.8 samples/s
  step  1450/1756 | loss 9.5398 | data 0.1 ms | step 15.1 ms | 33970.8 samples/s
  step  1500/1756 | loss 9.3894 | data 0.1 ms | step 15.1 ms | 33964.6 samples/s
  step  1550/1756 | loss 9.7489 | data 0.1 ms | step 15.1 ms | 33873.5 samples/s
  step  1600/1756 | loss 9.4183 | data 0.1 ms | step 15.1 ms | 33958.6 samples/s
  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
  step   700/1756 | loss 9.7266 | data 0.1 ms | step 15.1 ms | 33972.2 samples/s
  step   750/1756 | loss 9.7542 | data 0.1 ms | step 15.1 ms | 33913.3 samples/s
  step   800/1756 | loss 10.1792 | data 0.1 ms | step 15.1 ms | 33969.5 samples/s
  step   850/1756 | loss 9.5141 | data 0.1 ms | step 15.1 ms | 33983.9 samples/s
  step   900/1756 | loss 9.4134 | data 0.1 ms | step 15.1 ms | 33979.7 samples/s
  step   950/1756 | loss 9.4125 | data 0.1 ms | step 15.1 ms | 33999.7 samples/s
  step  1000/1756 | loss 9.3097 | data 0.1 ms | step 15.1 ms | 33891.9 samples/s
  step  1050/1756 | loss 10.0059 | data 0.1 ms | step 15.1 ms | 33957.6 samples/s
  step  1100/1756 | loss 9.9478 | data 0.1 ms | step 15.1 ms | 33956.6 samples/s
  step  1150/1756 | loss 9.6453 | data 0.1 ms | step 15.1 ms | 33991.8 samples/s
  step  1200/1756 | loss 9.6357 | data 0.1 ms | step 15.1 ms | 33972.0 samples/s
  step  1250/1756 | loss 9.5561 | data 0.1 ms | step 15.1 ms | 33977.5 samples/s
  step  1300/1756 | loss 10.0272 | data 0.1 ms | step 15.1 ms | 33973.5 samples/s
  step  1350/1756 | loss 9.4130 | data 0.1 ms | step 15.1 ms | 33936.3 samples/s
  step  1400/1756 | loss 9.5150 | data 0.1 ms | step 15.1 ms | 33985.8 samples/s
  step  1450/1756 | loss 9.5398 | data 0.1 ms | step 15.1 ms | 33970.8 samples/s
  step  1500/1756 | loss 9.3894 | data 0.1 ms | step 15.1 ms | 33964.6 samples/s
  step  1550/1756 | loss 9.7489 | data 0.1 ms | step 15.1 ms | 33873.5 samples/s
  step  1600/1756 | loss 9.4183 | data 0.1 ms | step 15.1 ms | 33958.6 samples/s
  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
  step   700/1756 | loss 9.7266 | data 0.1 ms | step 15.1 ms | 33972.2 samples/s
  step   750/1756 | loss 9.7542 | data 0.1 ms | step 15.1 ms | 33913.3 samples/s
  step   800/1756 | loss 10.1792 | data 0.1 ms | step 15.1 ms | 33969.5 samples/s
  step   850/1756 | loss 9.5141 | data 0.1 ms | step 15.1 ms | 33983.9 samples/s
  step   900/1756 | loss 9.4134 | data 0.1 ms | step 15.1 ms | 33979.7 samples/s
  step   950/1756 | loss 9.4125 | data 0.1 ms | step 15.1 ms | 33999.7 samples/s
  step  1000/1756 | loss 9.3097 | data 0.1 ms | step 15.1 ms | 33891.9 samples/s
  step  1050/1756 | loss 10.0059 | data 0.1 ms | step 15.1 ms | 33957.6 samples/s
  step  1100/1756 | loss 9.9478 | data 0.1 ms | step 15.1 ms | 33956.6 samples/s
  step  1150/1756 | loss 9.6453 | data 0.1 ms | step 15.1 ms | 33991.8 samples/s
  step  1200/1756 | loss 9.6357 | data 0.1 ms | step 15.1 ms | 33972.0 samples/s
  step  1250/1756 | loss 9.5561 | data 0.1 ms | step 15.1 ms | 33977.5 samples/s
  step  1300/1756 | loss 10.0272 | data 0.1 ms | step 15.1 ms | 33973.5 samples/s
  step  1350/1756 | loss 9.4130 | data 0.1 ms | step 15.1 ms | 33936.3 samples/s
  step  1400/1756 | loss 9.5150 | data 0.1 ms | step 15.1 ms | 33985.8 samples/s
  step  1450/1756 | loss 9.5398 | data 0.1 ms | step 15.1 ms | 33970.8 samples/s
  step  1500/1756 | loss 9.3894 | data 0.1 ms | step 15.1 ms | 33964.6 samples/s
  step  1550/1756 | loss 9.7489 | data 0.1 ms | step 15.1 ms | 33873.5 samples/s
  step  1600/1756 | loss 9.4183 | data 0.1 ms | step 15.1 ms | 33958.6 samples/s
  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
  step   700/1756 | loss 9.7266 | data 0.1 ms | step 15.1 ms | 33972.2 samples/s
  step   750/1756 | loss 9.7542 | data 0.1 ms | step 15.1 ms | 33913.3 samples/s
  step   800/1756 | loss 10.1792 | data 0.1 ms | step 15.1 ms | 33969.5 samples/s
  step   850/1756 | loss 9.5141 | data 0.1 ms | step 15.1 ms | 33983.9 samples/s
  step   900/1756 | loss 9.4134 | data 0.1 ms | step 15.1 ms | 33979.7 samples/s
  step   950/1756 | loss 9.4125 | data 0.1 ms | step 15.1 ms | 33999.7 samples/s
  step  1000/1756 | loss 9.3097 | data 0.1 ms | step 15.1 ms | 33891.9 samples/s
  step  1050/1756 | loss 10.0059 | data 0.1 ms | step 15.1 ms | 33957.6 samples/s
  step  1100/1756 | loss 9.9478 | data 0.1 ms | step 15.1 ms | 33956.6 samples/s
  step  1150/1756 | loss 9.6453 | data 0.1 ms | step 15.1 ms | 33991.8 samples/s
  step  1200/1756 | loss 9.6357 | data 0.1 ms | step 15.1 ms | 33972.0 samples/s
  step  1250/1756 | loss 9.5561 | data 0.1 ms | step 15.1 ms | 33977.5 samples/s
  step  1300/1756 | loss 10.0272 | data 0.1 ms | step 15.1 ms | 33973.5 samples/s
  step  1350/1756 | loss 9.4130 | data 0.1 ms | step 15.1 ms | 33936.3 samples/s
  step  1400/1756 | loss 9.5150 | data 0.1 ms | step 15.1 ms | 33985.8 samples/s
  step  1450/1756 | loss 9.5398 | data 0.1 ms | step 15.1 ms | 33970.8 samples/s
  step  1500/1756 | loss 9.3894 | data 0.1 ms | step 15.1 ms | 33964.6 samples/s
  step  1550/1756 | loss 9.7489 | data 0.1 ms | step 15.1 ms | 33873.5 samples/s
  step  1600/1756 | loss 9.4183 | data 0.1 ms | step 15.1 ms | 33958.6 samples/s
  step  1650/1756 | loss 9.0805 | data 0.1 ms | step 15.1 ms | 33920.2 samples/s
  step  1700/1756 | loss 9.7325 | data 0.1 ms | step 15.1 ms | 33983.4 samples/s
  step  1750/1756 | loss 9.1142 | data 0.6 ms | step 15.1 ms | 33952.4 samples/s
Training Loss: 9.639313 | 33945.9 samples/s
Peak GPU memory: 1978.4 MB
Validation Loss: 9.708249 | 111346.0 samples/s

Test Loss: 30.452463 | 41.0 samples/s

  step   150/1756 | loss 10.0170 | data 0.1 ms | step 15.1 ms | 33833.0 samples/s
  step   200/1756 | loss 9.8918 | data 0.1 ms | step 15.1 ms | 33948.5 samples/s
  step   250/1756 | loss 9.0810 | data 0.1 ms | step 15.1 ms | 33954.9 samples/s
  step   300/1756 | loss 10.2647 | data 0.1 ms | step 15.1 ms | 33957.7 samples/s
  step   350/1756 | loss 9.4313 | data 0.1 ms | step 15.1 ms | 33969.4 samples/s
  step   400/1756 | loss 9.8793 | data 0.1 ms | step 15.1 ms | 33978.5 samples/s
  step   450/1756 | loss 9.8078 | data 0.1 ms | step 15.1 ms | 33852.3 samples/s
  step   500/1756 | loss 9.5518 | data 0.1 ms | step 15.1 ms | 33992.0 samples/s
  step   550/1756 | loss 9.3001 | data 0.1 ms | step 15.1 ms | 33907.4 samples/s
  step   600/1756 | loss 9.9788 | data 0.1 ms | step 15.1 ms | 33945.7 samples/s
  step   650/1756 | loss 9.6234 | data 0.1 ms | step 15.1 ms | 33970.6 samples/s
